time/s	current/A	potential/V
1.00000E+00  -1.86939E-05 8.78608E-01 
2.00000E+00  -1.86939E-05 8.78608E-01 
3.00000E+00  -1.86939E-05 8.78608E-01 
4.00000E+00  -1.86939E-05 8.78608E-01 
5.00000E+00  -1.86939E-05 8.78608E-01 
6.00000E+00  9.78437E-03  8.84690E-01 
7.00000E+00  1.97557E-02  8.90961E-01 
8.00000E+00  2.98804E-02  8.97043E-01 
9.00000E+00  3.98517E-02  9.03124E-01 
1.00000E+01  4.99764E-02  9.09395E-01 
1.10000E+01  5.99477E-02  9.15287E-01 
1.20000E+01  6.99190E-02  9.21368E-01 
1.30000E+01  7.98904E-02  9.27449E-01 
1.40000E+01  9.00151E-02  9.33341E-01 
1.50000E+01  9.98330E-02  9.39042E-01 
1.60000E+01  1.09958E-01  9.45123E-01 
1.70000E+01  1.19929E-01  9.50635E-01 
1.80000E+01  1.30054E-01  9.56526E-01 
1.90000E+01  1.40025E-01  9.62227E-01 
2.00000E+01  1.49843E-01  9.68118E-01 
2.10000E+01  1.59814E-01  9.74010E-01 
2.20000E+01  1.69939E-01  9.79901E-01 
2.30000E+01  1.79910E-01  9.85602E-01 
2.40000E+01  1.89882E-01  9.91304E-01 
2.50000E+01  1.99853E-01  9.97195E-01 
2.60000E+01  2.09978E-01  1.00309E+00 
2.70000E+01  2.19949E-01  1.00879E+00 
2.80000E+01  2.29920E-01  1.01468E+00 
2.90000E+01  2.39892E-01  1.02057E+00 
3.00000E+01  2.50016E-01  1.02646E+00 
3.10000E+01  2.59834E-01  1.03235E+00 
3.20000E+01  2.69959E-01  1.03824E+00 
3.30000E+01  2.79930E-01  1.04433E+00 
3.40000E+01  2.89902E-01  1.05003E+00 
3.50000E+01  3.00026E-01  1.05630E+00 
3.60000E+01  3.10151E-01  1.06219E+00 
3.70000E+01  3.19969E-01  1.06827E+00 
3.80000E+01  3.30094E-01  1.07454E+00 
3.90000E+01  3.40065E-01  1.08081E+00 
4.00000E+01  3.50190E-01  1.08690E+00 
4.10000E+01  3.60161E-01  1.09317E+00 
4.20000E+01  3.70132E-01  1.09963E+00 
4.30000E+01  3.80104E-01  1.10590E+00 
4.40000E+01  3.90228E-01  1.11236E+00 
4.50000E+01  4.00046E-01  1.11901E+00 
4.60000E+01  4.10171E-01  1.12566E+00 
4.70000E+01  4.20142E-01  1.13232E+00 
4.80000E+01  4.30267E-01  1.13916E+00 
4.90000E+01  4.40085E-01  1.14619E+00 
5.00000E+01  4.50210E-01  1.15322E+00 
5.10000E+01  4.60181E-01  1.16025E+00 
5.20000E+01  4.70152E-01  1.16766E+00 
5.30000E+01  4.80123E-01  1.17488E+00 
5.40000E+01  4.90095E-01  1.18230E+00 
5.50000E+01  5.00066E-01  1.19009E+00 
5.60000E+01  5.10037E-01  1.19788E+00 
5.70000E+01  5.20162E-01  1.20567E+00 
5.80000E+01  5.30133E-01  1.21403E+00 
5.90000E+01  5.40105E-01  1.22221E+00 
6.00000E+01  5.49923E-01  1.23076E+00 
6.10000E+01  5.60201E-01  1.23950E+00 
6.20000E+01  5.70019E-01  1.24843E+00 
6.30000E+01  5.80143E-01  1.25736E+00 
6.40000E+01  5.90115E-01  1.26706E+00 
6.50000E+01  6.00086E-01  1.27656E+00 
6.60000E+01  6.10057E-01  1.28644E+00 
6.70000E+01  6.19875E-01  1.29670E+00 
6.80000E+01  6.29847E-01  1.30734E+00 
6.90000E+01  6.39971E-01  1.31799E+00 
7.00000E+01  6.49943E-01  1.32920E+00 
7.10000E+01  6.60067E-01  1.34022E+00 
7.20000E+01  6.69885E-01  1.35181E+00 
7.30000E+01  6.80010E-01  1.36398E+00 
7.40000E+01  6.89981E-01  1.37690E+00 
7.50000E+01  6.99952E-01  1.39096E+00 
7.60000E+01  7.09924E-01  1.40693E+00 
7.70000E+01  6.99952E-01  1.40864E+00 
7.80000E+01  6.89981E-01  1.40655E+00 
7.90000E+01  6.80010E-01  1.40142E+00 
8.00000E+01  6.70039E-01  1.39419E+00 
8.10000E+01  6.60067E-01  1.38507E+00 
8.20000E+01  6.49943E-01  1.37481E+00 
8.30000E+01  6.39971E-01  1.36417E+00 
8.40000E+01  6.29847E-01  1.35276E+00 
8.50000E+01  6.19875E-01  1.34136E+00 
8.60000E+01  6.10057E-01  1.33034E+00 
8.70000E+01  6.00239E-01  1.31894E+00 
8.80000E+01  5.90115E-01  1.30753E+00 
8.90000E+01  5.80143E-01  1.29651E+00 
9.00000E+01  5.70172E-01  1.28587E+00 
9.10000E+01  5.60047E-01  1.27504E+00 
9.20000E+01  5.49923E-01  1.26439E+00 
9.30000E+01  5.40105E-01  1.25413E+00 
9.40000E+01  5.29980E-01  1.24406E+00 
9.50000E+01  5.20162E-01  1.23437E+00 
9.60000E+01  5.10037E-01  1.22487E+00 
9.70000E+01  5.00066E-01  1.21517E+00 
9.80000E+01  4.90095E-01  1.20586E+00 
9.90000E+01  4.80123E-01  1.19693E+00 
1.00000E+02  4.69999E-01  1.18819E+00 
1.01000E+02  4.60181E-01  1.17945E+00 
1.02000E+02  4.50210E-01  1.17127E+00 
1.03000E+02  4.40085E-01  1.16291E+00 
1.04000E+02  4.30267E-01  1.15493E+00 
1.05000E+02  4.20142E-01  1.14695E+00 
1.06000E+02  4.10171E-01  1.13935E+00 
1.07000E+02  4.00046E-01  1.13156E+00 
1.08000E+02  3.90228E-01  1.12414E+00 
1.09000E+02  3.80104E-01  1.11673E+00 
1.10000E+02  3.70132E-01  1.10951E+00 
1.11000E+02  3.60007E-01  1.10229E+00 
1.12000E+02  3.50190E-01  1.09526E+00 
1.13000E+02  3.40065E-01  1.08842E+00 
1.14000E+02  3.30094E-01  1.08138E+00 
1.15000E+02  3.19969E-01  1.07473E+00 
1.16000E+02  3.09998E-01  1.06808E+00 
1.17000E+02  2.99873E-01  1.06124E+00 
1.18000E+02  2.89902E-01  1.05497E+00 
1.19000E+02  2.79930E-01  1.04851E+00 
